"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 22 06:54:45 UTC 2026","Fri May 22 06:54:47 UTC 2026","2120","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","deleteNonExistentOrderTest","deleteNonExistentOrderTest",""
"passed","Fri May 22 06:54:47 UTC 2026","Fri May 22 06:54:48 UTC 2026","967","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 06:54:50 UTC 2026","Fri May 22 06:54:51 UTC 2026","1230","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 06:54:48 UTC 2026","Fri May 22 06:54:49 UTC 2026","1201","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 06:54:47 UTC 2026","Fri May 22 06:54:48 UTC 2026","1009","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","getOrderWithInvalidPathParamTest","getOrderWithInvalidPathParamTest",""
"passed","Fri May 22 06:54:51 UTC 2026","Fri May 22 06:54:52 UTC 2026","1115","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 06:54:45 UTC 2026","Fri May 22 06:54:47 UTC 2026","2121","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 06:54:49 UTC 2026","Fri May 22 06:54:50 UTC 2026","1106","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 06:54:45 UTC 2026","Fri May 22 06:54:49 UTC 2026","4314","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","deleteOrderTwiceTest","deleteOrderTwiceTest",""
"passed","Fri May 22 06:54:45 UTC 2026","Fri May 22 06:54:49 UTC 2026","4857","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","getDeletedOrderTest","getDeletedOrderTest",""
"passed","Fri May 22 06:54:45 UTC 2026","Fri May 22 06:54:47 UTC 2026","2600","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","getNonExistentOrderTest","getNonExistentOrderTest",""
