"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 22 07:11:52 UTC 2026","Fri May 22 07:11:54 UTC 2026","2133","PetStore Automation Suite","Pet Tests","tests.NegativePostPayloadTest","tests.NegativePostPayloadTest","validateNegativePetCreation","validateNegativePetCreation",""
"passed","Fri May 22 07:11:56 UTC 2026","Fri May 22 07:11:57 UTC 2026","1077","PetStore Automation Suite","Pet Tests","tests.NegativePostPayloadTest","tests.NegativePostPayloadTest","validateNegativePetCreation","validateNegativePetCreation",""
"passed","Fri May 22 07:12:00 UTC 2026","Fri May 22 07:12:04 UTC 2026","3382","PetStore Automation Suite","Pet Tests","tests.PetNegativeWorkflowTest","tests.PetNegativeWorkflowTest","PetNegativeWorkflow","PetNegativeWorkflow",""
"passed","Fri May 22 07:11:52 UTC 2026","Fri May 22 07:11:55 UTC 2026","2631","PetStore Automation Suite","Pet Tests","tests.PetPOJOTest","tests.PetPOJOTest","validatePetusingPOJO","validatePetusingPOJO",""
"passed","Fri May 22 07:11:52 UTC 2026","Fri May 22 07:11:58 UTC 2026","6061","PetStore Automation Suite","Pet Tests","tests.PetWorkflowDDTTest","tests.PetWorkflowDDTTest","validatePetWorkflow","validatePetWorkflow",""
"passed","Fri May 22 07:11:52 UTC 2026","Fri May 22 07:11:58 UTC 2026","6064","PetStore Automation Suite","Pet Tests","tests.PetE2ETest","tests.PetE2ETest","petWorkflowTest","petWorkflowTest",""
"passed","Fri May 22 07:11:55 UTC 2026","Fri May 22 07:11:56 UTC 2026","1111","PetStore Automation Suite","Pet Tests","tests.NegativePostPayloadTest","tests.NegativePostPayloadTest","validateNegativePetCreation","validateNegativePetCreation",""
"passed","Fri May 22 07:11:58 UTC 2026","Fri May 22 07:12:03 UTC 2026","4599","PetStore Automation Suite","Pet Tests","tests.PetWorkflowDDTTest","tests.PetWorkflowDDTTest","validatePetWorkflow","validatePetWorkflow",""
"passed","Fri May 22 07:11:52 UTC 2026","Fri May 22 07:11:57 UTC 2026","5038","PetStore Automation Suite","Pet Tests","tests.PetNegativeWorkflowTest","tests.PetNegativeWorkflowTest","PetNegativeWorkflow","PetNegativeWorkflow",""
"passed","Fri May 22 07:12:03 UTC 2026","Fri May 22 07:12:08 UTC 2026","5727","PetStore Automation Suite","Pet Tests","tests.PetWorkflowDDTTest","tests.PetWorkflowDDTTest","validatePetWorkflow","validatePetWorkflow",""
"passed","Fri May 22 07:12:08 UTC 2026","Fri May 22 07:12:13 UTC 2026","4563","PetStore Automation Suite","Order Tests","tests.OrderE2EFlowTest","tests.OrderE2EFlowTest","OrderWorkflowTest","OrderWorkflowTest",""
"passed","Fri May 22 07:11:57 UTC 2026","Fri May 22 07:12:00 UTC 2026","3365","PetStore Automation Suite","Pet Tests","tests.PetNegativeWorkflowTest","tests.PetNegativeWorkflowTest","PetNegativeWorkflow","PetNegativeWorkflow",""
"passed","Fri May 22 07:11:54 UTC 2026","Fri May 22 07:11:55 UTC 2026","1142","PetStore Automation Suite","Pet Tests","tests.NegativePostPayloadTest","tests.NegativePostPayloadTest","validateNegativePetCreation","validateNegativePetCreation",""
