"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 22 07:21:51 UTC 2026","Fri May 22 07:21:56 UTC 2026","5215","PetStore Automation Suite","Order Tests","tests.OrderE2EFlowTest","tests.OrderE2EFlowTest","OrderWorkflowTest","OrderWorkflowTest",""
"passed","Fri May 22 07:21:55 UTC 2026","Fri May 22 07:21:56 UTC 2026","1212","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 07:21:51 UTC 2026","Fri May 22 07:21:53 UTC 2026","1885","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","deleteNonExistentOrderTest","deleteNonExistentOrderTest",""
"passed","Fri May 22 07:21:56 UTC 2026","Fri May 22 07:21:57 UTC 2026","1214","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 07:21:53 UTC 2026","Fri May 22 07:21:54 UTC 2026","996","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","getNonExistentOrderTest","getNonExistentOrderTest",""
"passed","Fri May 22 07:21:54 UTC 2026","Fri May 22 07:21:55 UTC 2026","1103","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 07:21:53 UTC 2026","Fri May 22 07:21:54 UTC 2026","980","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 07:21:57 UTC 2026","Fri May 22 07:21:58 UTC 2026","1227","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 07:21:51 UTC 2026","Fri May 22 07:21:55 UTC 2026","3999","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","deleteOrderTwiceTest","deleteOrderTwiceTest",""
"passed","Fri May 22 07:21:51 UTC 2026","Fri May 22 07:21:55 UTC 2026","4615","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","getDeletedOrderTest","getDeletedOrderTest",""
"passed","Fri May 22 07:21:51 UTC 2026","Fri May 22 07:21:53 UTC 2026","1888","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 07:21:54 UTC 2026","Fri May 22 07:21:55 UTC 2026","1129","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","getOrderWithInvalidPathParamTest","getOrderWithInvalidPathParamTest",""
