"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 22 07:08:15 UTC 2026","Fri May 22 07:08:18 UTC 2026","3375","PetStore Automation Suite","Pet Tests","tests.PetNegativeWorkflowTest","tests.PetNegativeWorkflowTest","PetNegativeWorkflow","PetNegativeWorkflow",""
"passed","Fri May 22 07:08:08 UTC 2026","Fri May 22 07:08:09 UTC 2026","1190","PetStore Automation Suite","Pet Tests","tests.NegativePostPayloadTest","tests.NegativePostPayloadTest","validateNegativePetCreation","validateNegativePetCreation",""
"passed","Fri May 22 07:08:18 UTC 2026","Fri May 22 07:08:23 UTC 2026","4353","PetStore Automation Suite","Pet Tests","tests.PetWorkflowDDTTest","tests.PetWorkflowDDTTest","validatePetWorkflow","validatePetWorkflow",""
"passed","Fri May 22 07:08:06 UTC 2026","Fri May 22 07:08:12 UTC 2026","6278","PetStore Automation Suite","Pet Tests","tests.PetWorkflowDDTTest","tests.PetWorkflowDDTTest","validatePetWorkflow","validatePetWorkflow",""
"passed","Fri May 22 07:08:06 UTC 2026","Fri May 22 07:08:09 UTC 2026","2787","PetStore Automation Suite","Pet Tests","tests.PetPOJOTest","tests.PetPOJOTest","validatePetusingPOJO","validatePetusingPOJO",""
"passed","Fri May 22 07:08:23 UTC 2026","Fri May 22 07:08:27 UTC 2026","4532","PetStore Automation Suite","Order Tests","tests.OrderE2EFlowTest","tests.OrderE2EFlowTest","OrderWorkflowTest","OrderWorkflowTest",""
"passed","Fri May 22 07:08:06 UTC 2026","Fri May 22 07:08:08 UTC 2026","2174","PetStore Automation Suite","Pet Tests","tests.NegativePostPayloadTest","tests.NegativePostPayloadTest","validateNegativePetCreation","validateNegativePetCreation",""
"passed","Fri May 22 07:08:09 UTC 2026","Fri May 22 07:08:11 UTC 2026","1228","PetStore Automation Suite","Pet Tests","tests.NegativePostPayloadTest","tests.NegativePostPayloadTest","validateNegativePetCreation","validateNegativePetCreation",""
"passed","Fri May 22 07:08:11 UTC 2026","Fri May 22 07:08:12 UTC 2026","1010","PetStore Automation Suite","Pet Tests","tests.NegativePostPayloadTest","tests.NegativePostPayloadTest","validateNegativePetCreation","validateNegativePetCreation",""
"passed","Fri May 22 07:08:06 UTC 2026","Fri May 22 07:08:12 UTC 2026","6277","PetStore Automation Suite","Pet Tests","tests.PetE2ETest","tests.PetE2ETest","petWorkflowTest","petWorkflowTest",""
"passed","Fri May 22 07:08:11 UTC 2026","Fri May 22 07:08:15 UTC 2026","3568","PetStore Automation Suite","Pet Tests","tests.PetNegativeWorkflowTest","tests.PetNegativeWorkflowTest","PetNegativeWorkflow","PetNegativeWorkflow",""
"passed","Fri May 22 07:08:12 UTC 2026","Fri May 22 07:08:18 UTC 2026","5824","PetStore Automation Suite","Pet Tests","tests.PetWorkflowDDTTest","tests.PetWorkflowDDTTest","validatePetWorkflow","validatePetWorkflow",""
"passed","Fri May 22 07:08:06 UTC 2026","Fri May 22 07:08:11 UTC 2026","5159","PetStore Automation Suite","Pet Tests","tests.PetNegativeWorkflowTest","tests.PetNegativeWorkflowTest","PetNegativeWorkflow","PetNegativeWorkflow",""
