"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 22 07:19:30 UTC 2026","Fri May 22 07:19:31 UTC 2026","1848","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","deleteNonExistentOrderTest","deleteNonExistentOrderTest",""
"passed","Fri May 22 07:19:30 UTC 2026","Fri May 22 07:19:34 UTC 2026","4683","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","getDeletedOrderTest","getDeletedOrderTest",""
"passed","Fri May 22 07:19:32 UTC 2026","Fri May 22 07:19:34 UTC 2026","1209","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 07:19:36 UTC 2026","Fri May 22 07:19:37 UTC 2026","1217","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 07:19:31 UTC 2026","Fri May 22 07:19:32 UTC 2026","988","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","getNonExistentOrderTest","getNonExistentOrderTest",""
"passed","Fri May 22 07:19:32 UTC 2026","Fri May 22 07:19:34 UTC 2026","1242","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","getOrderWithInvalidPathParamTest","getOrderWithInvalidPathParamTest",""
"passed","Fri May 22 07:19:31 UTC 2026","Fri May 22 07:19:32 UTC 2026","976","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 07:19:30 UTC 2026","Fri May 22 07:19:34 UTC 2026","4057","PetStore Automation Suite","Order Tests","tests.OrderWorkflowNegativeTest","tests.OrderWorkflowNegativeTest","deleteOrderTwiceTest","deleteOrderTwiceTest",""
"passed","Fri May 22 07:19:35 UTC 2026","Fri May 22 07:19:36 UTC 2026","1182","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 07:19:30 UTC 2026","Fri May 22 07:19:31 UTC 2026","1849","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 07:19:34 UTC 2026","Fri May 22 07:19:35 UTC 2026","1166","PetStore Automation Suite","Order Tests","tests.createOrderNegativePayLoadTest","tests.createOrderNegativePayLoadTest","negativePayloadCreateOrder","negativePayloadCreateOrder",""
"passed","Fri May 22 07:19:30 UTC 2026","Fri May 22 07:19:35 UTC 2026","5251","PetStore Automation Suite","Order Tests","tests.OrderE2EFlowTest","tests.OrderE2EFlowTest","OrderWorkflowTest","OrderWorkflowTest",""
